account_id,instrument,side,units,entry_ticket,entry_timestamp,entry_price,stop_loss,take_profit,exit_ticket,exit_timestamp,exit_price,close_type,price_change,pnl,pnl_currency,holding_minutes
101-004-30719775-009,GBP/USD,Buy,10000.00,,2025-11-12T17:35:39+00:00,1.31388,,,,2025-11-12T17:51:57+00:00,1.31333,STOP_LOSS_ORDER,-0.00055,-5.50,USD,16.30
101-004-30719775-009,GBP/USD,Buy,10000.00,,2025-11-12T18:04:49+00:00,1.31407,,,,2025-11-12T19:12:01+00:00,1.31350,STOP_LOSS_ORDER,-0.00057,-5.70,USD,67.20
101-004-30719775-009,GBP/USD,Sell,10000.00,,2025-11-12T20:35:59+00:00,1.31273,,,,2025-11-12T20:56:10+00:00,1.31330,STOP_LOSS_ORDER,-0.00057,-5.70,USD,20.18
101-004-30719775-009,GBP/USD,Sell,10000.00,,2025-11-12T21:07:47+00:00,1.31254,,,,2025-11-12T21:56:08+00:00,1.31313,STOP_LOSS_ORDER,-0.00059,-5.90,USD,48.35
101-004-30719775-009,GBP/USD,Sell,10000.00,,2025-11-12T23:42:21+00:00,1.31260,,,,2025-11-13T00:53:32+00:00,1.31168,TAKE_PROFIT_ORDER,0.00092,9.20,USD,71.18
101-004-30719775-009,GBP/USD,Sell,10000.00,,2025-11-13T00:55:50+00:00,1.31167,,,,2025-11-13T01:55:55+00:00,1.31225,STOP_LOSS_ORDER,-0.00058,-5.80,USD,60.08
101-004-30719775-009,GBP/USD,Sell,10000.00,,2025-11-13T01:57:22+00:00,1.31203,,,,2025-11-13T02:01:56+00:00,1.31260,STOP_LOSS_ORDER,-0.00057,-5.70,USD,4.57
101-004-30719775-009,GBP/USD,Buy,10000.00,,2025-11-13T02:08:33+00:00,1.31275,,,,2025-11-13T02:16:11+00:00,1.31218,STOP_LOSS_ORDER,-0.00057,-5.70,USD,7.63
101-004-30719775-009,GBP/USD,Sell,10000.00,,2025-11-13T02:26:06+00:00,1.31190,,,,2025-11-13T02:42:36+00:00,1.31246,STOP_LOSS_ORDER,-0.00056,-5.60,USD,16.50
101-004-30719775-009,GBP/USD,Buy,10000.00,,2025-11-13T03:07:21+00:00,1.31273,,,,2025-11-13T03:35:18+00:00,1.31216,STOP_LOSS_ORDER,-0.00057,-5.70,USD,27.95
101-004-30719775-009,GBP/USD,Buy,10000.00,,2025-11-13T04:01:05+00:00,1.31269,,,,2025-11-13T04:21:37+00:00,1.31212,STOP_LOSS_ORDER,-0.00057,-5.70,USD,20.53
101-004-30719775-009,GBP/USD,Sell,10000.00,,2025-11-13T04:41:04+00:00,1.31215,,,,2025-11-13T07:00:15+00:00,1.31119,TAKE_PROFIT_ORDER,0.00096,9.60,USD,139.18
101-004-30719775-009,GBP/USD,Sell,10000.00,,2025-11-13T07:05:58+00:00,1.31023,,,,2025-11-13T07:07:44+00:00,1.31079,STOP_LOSS_ORDER,-0.00056,-5.60,USD,1.77
101-004-30719775-009,GBP/USD,Sell,10000.00,,2025-11-13T07:09:47+00:00,1.31085,,,,2025-11-13T07:10:41+00:00,1.31139,STOP_LOSS_ORDER,-0.00054,-5.40,USD,0.90
101-004-30719775-009,GBP/USD,Sell,10000.00,,2025-11-13T07:12:21+00:00,1.31092,,,,2025-11-13T07:14:23+00:00,1.31148,STOP_LOSS_ORDER,-0.00056,-5.60,USD,2.03
101-004-30719775-009,GBP/USD,Sell,10000.00,,2025-11-13T07:16:06+00:00,1.31154,,,,2025-11-13T07:22:54+00:00,1.31211,STOP_LOSS_ORDER,-0.00057,-5.70,USD,6.80
101-004-30719775-009,GBP/USD,Buy,10000.00,,2025-11-13T07:31:02+00:00,1.31313,,,,2025-11-13T07:46:51+00:00,1.31406,TAKE_PROFIT_ORDER,0.00093,9.30,USD,15.82
101-004-30719775-009,GBP/USD,Buy,10000.00,,2025-11-13T07:48:31+00:00,1.31412,,,,2025-11-13T07:55:01+00:00,1.31356,STOP_LOSS_ORDER,-0.00056,-5.60,USD,6.50
101-004-30719775-009,GBP/USD,Buy,10000.00,,2025-11-13T08:01:11+00:00,1.31440,,,,2025-11-13T08:05:13+00:00,1.31384,STOP_LOSS_ORDER,-0.00056,-5.60,USD,4.03
101-004-30719775-009,GBP/USD,Buy,10000.00,,2025-11-13T08:12:28+00:00,1.31446,,,,2025-11-13T08:24:13+00:00,1.31390,STOP_LOSS_ORDER,-0.00056,-5.60,USD,11.75
