account_id,instrument,side,units,entry_ticket,entry_timestamp,entry_price,stop_loss,take_profit,exit_ticket,exit_timestamp,exit_price,close_type,price_change,pnl,pnl_currency,holding_minutes
101-004-30719775-003,USD/JPY,Sell,100000.00,,2025-11-11T08:36:14+00:00,154.33900,,,,2025-11-12T04:22:41+00:00,154.54000,STOP_LOSS_ORDER,-0.20100,-381.84,USD,1186.45
101-004-30719775-005,AUD/USD,Sell,10000.00,,2025-11-14T00:01:29+00:00,0.65264,,,,2025-11-14T00:34:17+00:00,0.65319,STOP_LOSS_ORDER,-0.00055,-5.50,USD,32.80
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T00:34:25+00:00,1.31525,,,,2025-11-14T00:42:57+00:00,1.31431,TAKE_PROFIT_ORDER,0.00094,9.40,USD,8.53
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T00:43:20+00:00,1.31406,,,,2025-11-14T00:58:06+00:00,1.31475,STOP_LOSS_ORDER,-0.00069,-6.90,USD,14.77
101-004-30719775-005,USD/JPY,Sell,17296.00,,2025-11-14T01:28:37+00:00,154.46100,,,,2025-11-14T01:28:55+00:00,154.48600,STOP_LOSS_ORDER,-0.02500,-2.81,USD,0.30
101-004-30719775-005,USD/JPY,Sell,17744.00,,2025-11-14T01:31:14+00:00,154.51100,,,,2025-11-14T01:31:15+00:00,154.53400,STOP_LOSS_ORDER,-0.02300,-2.65,USD,0.02
101-004-30719775-005,USD/JPY,Sell,16835.00,,2025-11-14T01:33:47+00:00,154.52600,,,,2025-11-14T01:35:35+00:00,154.55300,STOP_LOSS_ORDER,-0.02700,-2.96,USD,1.80
101-004-30719775-005,USD/JPY,Sell,17426.00,,2025-11-14T01:37:36+00:00,154.52400,,,,2025-11-14T01:38:35+00:00,154.54700,STOP_LOSS_ORDER,-0.02300,-2.61,USD,0.98
101-004-30719775-005,USD/JPY,Sell,17503.00,,2025-11-14T01:40:16+00:00,154.48300,,,,2025-11-14T01:40:45+00:00,154.51000,STOP_LOSS_ORDER,-0.02700,-3.07,USD,0.48
101-004-30719775-005,USD/JPY,Sell,19250.00,,2025-11-14T01:42:46+00:00,154.48900,,,,2025-11-14T01:43:07+00:00,154.51000,STOP_LOSS_ORDER,-0.02100,-2.63,USD,0.35
101-004-30719775-005,USD/JPY,Sell,17206.00,,2025-11-14T01:44:01+00:00,154.46300,,,,2025-11-14T01:44:36+00:00,154.50000,STOP_LOSS_ORDER,-0.03700,-4.14,USD,0.58
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T00:59:53+00:00,1.31470,,,,2025-11-14T01:45:44+00:00,1.31478,STOP_LOSS_ORDER,-0.00008,-5.80,USD,45.85
101-004-30719775-005,EUR/USD,Buy,10000.00,,2025-11-14T01:45:23+00:00,1.16374,,,,2025-11-14T02:06:03+00:00,1.16318,STOP_LOSS_ORDER,-0.00056,-5.60,USD,20.67
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T01:38:51+00:00,1.31420,,,,2025-11-14T02:22:10+00:00,1.31521,STOP_LOSS_ORDER,-0.00101,-5.10,USD,43.32
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T02:23:33+00:00,1.31498,,,,2025-11-14T03:24:54+00:00,1.31557,STOP_LOSS_ORDER,-0.00059,-5.90,USD,61.35
101-004-30719775-005,USD/JPY,Sell,18605.00,,2025-11-14T03:26:06+00:00,154.44100,,,,2025-11-14T03:31:08+00:00,154.41600,TAKE_PROFIT_ORDER,0.02500,3.00,USD,5.03
101-004-30719775-005,AUD/USD,Buy,10000.00,,2025-11-14T02:07:17+00:00,0.65431,,,,2025-11-14T04:06:35+00:00,0.65376,STOP_LOSS_ORDER,-0.00055,-5.50,USD,119.30
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T04:07:18+00:00,1.31477,,,,2025-11-14T06:14:33+00:00,1.31533,STOP_LOSS_ORDER,-0.00056,-5.60,USD,127.25
101-004-30719775-005,USD/JPY,Buy,21806.00,,2025-11-14T06:22:25+00:00,154.52200,,,,2025-11-14T06:22:28+00:00,154.50300,STOP_LOSS_ORDER,-0.01900,-2.69,USD,0.05
101-004-30719775-005,USD/JPY,Buy,20986.00,,2025-11-14T06:24:54+00:00,154.52800,,,,2025-11-14T06:25:13+00:00,154.50900,STOP_LOSS_ORDER,-0.01900,-2.59,USD,0.32
101-004-30719775-005,EUR/USD,Buy,10000.00,,2025-11-14T03:31:11+00:00,1.16420,,,,2025-11-14T06:45:57+00:00,1.16364,STOP_LOSS_ORDER,-0.00056,-5.60,USD,194.77
101-004-30719775-005,USD/JPY,Buy,18185.00,,2025-11-14T06:45:59+00:00,154.62000,,,,2025-11-14T06:46:13+00:00,154.59500,STOP_LOSS_ORDER,-0.02500,-2.96,USD,0.23
101-004-30719775-005,USD/JPY,Buy,17258.00,,2025-11-14T06:48:29+00:00,154.62800,,,,2025-11-14T06:48:35+00:00,154.60800,STOP_LOSS_ORDER,-0.02000,-2.24,USD,0.10
101-004-30719775-005,USD/JPY,Buy,16021.00,,2025-11-14T06:49:42+00:00,154.66400,,,,2025-11-14T06:49:51+00:00,154.63700,STOP_LOSS_ORDER,-0.02700,-2.81,USD,0.15
101-004-30719775-005,EUR/USD,Sell,10000.00,,2025-11-14T06:51:06+00:00,1.16343,,,,2025-11-14T07:00:29+00:00,1.16397,STOP_LOSS_ORDER,-0.00054,-5.40,USD,9.38
101-004-30719775-005,AUD/USD,Sell,10000.00,,2025-11-14T06:26:12+00:00,0.65334,,,,2025-11-14T07:23:25+00:00,0.65241,TAKE_PROFIT_ORDER,0.00093,9.30,USD,57.22
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T07:20:57+00:00,1.31385,,,,2025-11-14T07:24:27+00:00,1.31300,TAKE_PROFIT_ORDER,0.00085,8.50,USD,3.50
101-004-30719775-005,GBP/USD,Sell,10000.00,,2025-11-14T08:35:56+00:00,1.31348,,,,2025-11-14T08:37:18+00:00,1.31403,STOP_LOSS_ORDER,-0.00055,-5.50,USD,1.37
101-004-30719775-005,USD/JPY,Buy,38841.00,,2025-11-14T08:38:35+00:00,154.64300,,,,2025-11-14T08:39:16+00:00,154.62400,STOP_LOSS_ORDER,-0.01900,-4.80,USD,0.68
101-004-30719775-005,EUR/USD,Sell,10000.00,,2025-11-14T08:35:55+00:00,1.16322,,,,2025-11-14T08:43:14+00:00,1.16374,STOP_LOSS_ORDER,-0.00052,-5.20,USD,7.32
101-004-30719775-005,USD/JPY,Sell,34208.00,,2025-11-14T08:46:08+00:00,154.51000,,,,2025-11-14T08:47:25+00:00,154.47600,TAKE_PROFIT_ORDER,0.03400,7.49,USD,1.28
101-004-30719775-005,AUD/USD,Sell,10000.00,,2025-11-14T08:39:49+00:00,0.65239,,,,2025-11-14T08:53:59+00:00,0.65297,STOP_LOSS_ORDER,-0.00058,-5.80,USD,14.17
101-004-30719775-005,GBP/USD,Buy,200000.00,,2025-11-14T09:03:50+00:00,1.31750,,,,2025-11-14T09:10:31+00:00,1.31683,STOP_LOSS_ORDER,-0.00067,-134.00,USD,6.68
101-004-30719775-005,USD/JPY,Buy,34621.00,,2025-11-14T09:14:10+00:00,154.66000,,,,2025-11-14T09:15:15+00:00,154.63600,STOP_LOSS_ORDER,-0.02400,-5.40,USD,1.08
101-004-30719775-005,EUR/USD,Sell,10000.00,,2025-11-14T08:48:50+00:00,1.16320,,,,2025-11-14T09:48:26+00:00,1.16224,TAKE_PROFIT_ORDER,0.00096,9.60,USD,59.60
101-004-30719775-005,EUR/USD,Sell,200000.00,,2025-11-14T08:54:58+00:00,1.16306,,,,2025-11-14T09:55:05+00:00,1.16210,TAKE_PROFIT_ORDER,0.00096,192.00,USD,60.12
101-004-30719775-005,AUD/USD,Sell,200000.00,,2025-11-14T09:15:29+00:00,0.65261,,,,2025-11-14T10:56:09+00:00,0.65168,TAKE_PROFIT_ORDER,0.00093,186.00,USD,100.67
101-004-30719775-005,EUR/USD,Sell,200000.00,,2025-11-14T09:55:33+00:00,1.16209,,,,2025-11-14T11:12:26+00:00,1.16111,TAKE_PROFIT_ORDER,0.00098,196.00,USD,76.88
101-004-30719775-005,GBP/USD,Sell,200000.00,,2025-11-14T10:56:42+00:00,1.31433,,,,2025-11-14T11:12:46+00:00,1.31312,TAKE_PROFIT_ORDER,0.00121,242.00,USD,16.07
101-004-30719775-005,GBP/USD,Sell,200000.00,,2025-11-14T11:13:09+00:00,1.31308,,,,2025-11-14T11:23:44+00:00,1.31355,STOP_LOSS_ORDER,-0.00047,-94.00,USD,10.58
101-004-30719775-005,EUR/USD,Sell,200000.00,,2025-11-14T11:24:52+00:00,1.16105,,,,2025-11-14T11:39:17+00:00,1.16162,STOP_LOSS_ORDER,-0.00057,-114.00,USD,14.42
101-004-30719775-005,GBP/USD,Sell,200000.00,,2025-11-14T11:40:34+00:00,1.31375,,,,2025-11-14T11:55:53+00:00,1.31431,STOP_LOSS_ORDER,-0.00056,-112.00,USD,15.32
101-004-30719775-005,EUR/USD,Sell,200000.00,,2025-11-14T11:58:36+00:00,1.16183,,,,2025-11-14T12:06:52+00:00,1.16236,STOP_LOSS_ORDER,-0.00053,-106.00,USD,8.27
101-004-30719775-005,USD/JPY,Sell,42977.00,,2025-11-14T12:08:06+00:00,154.54200,,,,2025-11-14T12:08:19+00:00,154.56100,STOP_LOSS_ORDER,-0.01900,-5.31,USD,0.22
101-004-30719775-005,AUD/USD,Sell,200000.00,,2025-11-14T11:13:11+00:00,0.65080,,,,2025-11-14T12:08:30+00:00,0.65132,STOP_LOSS_ORDER,-0.00052,-104.00,USD,55.32
101-004-30719775-005,USD/JPY,Sell,44786.00,,2025-11-14T12:10:39+00:00,154.54900,,,,2025-11-14T12:10:43+00:00,154.56600,STOP_LOSS_ORDER,-0.01700,-4.95,USD,0.07
101-004-30719775-005,USD/JPY,Sell,40786.00,,2025-11-14T12:12:03+00:00,154.48800,,,,2025-11-14T12:12:04+00:00,154.50900,STOP_LOSS_ORDER,-0.02100,-5.57,USD,0.02
101-004-30719775-005,USD/JPY,Sell,39489.00,,2025-11-14T12:13:18+00:00,154.46500,,,,2025-11-14T12:14:23+00:00,154.49300,STOP_LOSS_ORDER,-0.02800,-7.19,USD,1.08
101-004-30719775-005,USD/JPY,Sell,35907.00,,2025-11-14T12:15:53+00:00,154.45800,,,,2025-11-14T12:16:38+00:00,154.48100,STOP_LOSS_ORDER,-0.02300,-5.37,USD,0.75
101-004-30719775-005,USD/JPY,Sell,35451.00,,2025-11-14T12:18:27+00:00,154.48300,,,,2025-11-14T12:19:10+00:00,154.44500,TAKE_PROFIT_ORDER,0.03800,8.68,USD,0.72
101-004-30719775-005,USD/JPY,Sell,36024.00,,2025-11-14T12:19:51+00:00,154.41200,,,,2025-11-14T12:22:00+00:00,154.37900,TAKE_PROFIT_ORDER,0.03300,7.66,USD,2.15
101-004-30719775-005,USD/JPY,Sell,33535.00,,2025-11-14T12:23:41+00:00,154.31100,,,,2025-11-14T12:24:06+00:00,154.33700,STOP_LOSS_ORDER,-0.02600,-5.68,USD,0.42
101-004-30719775-005,EUR/USD,Buy,200000.00,,2025-11-14T12:26:19+00:00,1.16298,,,,2025-11-14T12:42:35+00:00,1.16398,TAKE_PROFIT_ORDER,0.00100,200.00,USD,16.27
101-004-30719775-005,AUD/USD,Sell,200000.00,,2025-11-14T12:10:40+00:00,0.65118,,,,2025-11-14T12:44:58+00:00,0.65173,STOP_LOSS_ORDER,-0.00055,-110.00,USD,34.30
101-004-30719775-005,USD/JPY,Sell,27052.00,,2025-11-14T12:45:07+00:00,154.02000,,,,2025-11-14T12:47:26+00:00,154.05600,STOP_LOSS_ORDER,-0.03600,-6.35,USD,2.32
101-004-30719775-005,GBP/USD,Buy,200000.00,,2025-11-14T12:47:45+00:00,1.31734,,,,2025-11-14T12:48:54+00:00,1.31677,STOP_LOSS_ORDER,-0.00057,-114.00,USD,1.15
101-004-30719775-005,USD/JPY,Sell,25984.00,,2025-11-14T12:49:08+00:00,154.09500,,,,2025-11-14T12:49:28+00:00,154.13100,STOP_LOSS_ORDER,-0.03600,-6.10,USD,0.33
101-004-30719775-005,GBP/USD,Buy,200000.00,,2025-11-14T12:50:25+00:00,1.31689,,,,2025-11-14T12:56:34+00:00,1.31787,TAKE_PROFIT_ORDER,0.00098,196.00,USD,6.15
101-004-30719775-005,EUR/USD,Buy,200000.00,,2025-11-14T12:43:50+00:00,1.16420,,,,2025-11-14T12:56:38+00:00,1.16518,TAKE_PROFIT_ORDER,0.00098,196.00,USD,12.80
101-004-30719775-005,USD/JPY,Sell,24076.00,,2025-11-14T12:57:02+00:00,153.94800,,,,2025-11-14T12:59:16+00:00,153.87000,TAKE_PROFIT_ORDER,0.07800,12.14,USD,2.23
101-004-30719775-005,GBP/USD,Buy,200000.00,,2025-11-14T12:57:01+00:00,1.31797,,,,2025-11-14T13:01:50+00:00,1.31742,STOP_LOSS_ORDER,-0.00055,-110.00,USD,4.82
101-004-30719775-005,USD/JPY,Sell,19447.00,,2025-11-14T13:02:24+00:00,153.88900,,,,2025-11-14T13:02:49+00:00,153.93000,STOP_LOSS_ORDER,-0.04100,-5.21,USD,0.42
101-004-30719775-005,EUR/USD,Buy,200000.00,,2025-11-14T12:59:42+00:00,1.16517,,,,2025-11-14T13:04:36+00:00,1.16458,STOP_LOSS_ORDER,-0.00059,-118.00,USD,4.90
101-004-30719775-005,USD/JPY,Sell,17903.00,,2025-11-14T13:04:59+00:00,153.95600,,,,2025-11-14T13:07:13+00:00,153.86700,TAKE_PROFIT_ORDER,0.08900,10.30,USD,2.23
101-004-30719775-005,USD/JPY,Sell,17738.00,,2025-11-14T13:07:32+00:00,153.87000,,,,2025-11-14T13:07:44+00:00,153.91000,STOP_LOSS_ORDER,-0.04000,-4.63,USD,0.20
101-004-30719775-005,EUR/USD,Buy,200000.00,,2025-11-14T13:10:08+00:00,1.16489,,,,2025-11-14T13:31:06+00:00,1.16429,STOP_LOSS_ORDER,-0.00060,-120.00,USD,20.97
101-004-30719775-005,USD/JPY,Sell,18794.00,,2025-11-14T13:31:51+00:00,153.83400,,,,2025-11-14T13:33:41+00:00,153.74100,TAKE_PROFIT_ORDER,0.09300,11.31,USD,1.83
101-004-30719775-005,USD/JPY,Sell,18425.00,,2025-11-14T13:34:26+00:00,153.75300,,,,2025-11-14T13:34:53+00:00,153.78000,STOP_LOSS_ORDER,-0.02700,-3.25,USD,0.45
101-004-30719775-005,AUD/USD,Buy,200000.00,,2025-11-14T13:03:38+00:00,0.65272,,,,2025-11-14T13:35:01+00:00,0.65220,STOP_LOSS_ORDER,-0.00052,-104.00,USD,31.38
101-004-30719775-005,GBP/USD,Buy,200000.00,,2025-11-14T13:35:53+00:00,1.31707,,,,2025-11-14T13:39:28+00:00,1.31649,STOP_LOSS_ORDER,-0.00058,-116.00,USD,3.58
101-004-30719775-005,USD/JPY,Sell,19280.00,,2025-11-14T13:37:08+00:00,153.71800,,,,2025-11-14T13:40:39+00:00,153.76300,STOP_LOSS_ORDER,-0.04500,-5.67,USD,3.52
101-004-30719775-005,USD/JPY,Sell,19534.00,,2025-11-14T13:42:15+00:00,153.75100,,,,2025-11-14T13:42:33+00:00,153.79200,STOP_LOSS_ORDER,-0.04100,-5.23,USD,0.30
101-004-30719775-005,GBP/USD,Buy,200000.00,,2025-11-14T13:43:42+00:00,1.31681,,,,2025-11-14T13:44:31+00:00,1.31624,STOP_LOSS_ORDER,-0.00057,-114.00,USD,0.82
101-004-30719775-005,USD/JPY,Sell,19209.00,,2025-11-14T13:44:57+00:00,153.75000,,,,2025-11-14T13:45:16+00:00,153.79600,STOP_LOSS_ORDER,-0.04600,-5.77,USD,0.32
101-004-30719775-005,USD/JPY,Sell,19731.00,,2025-11-14T13:47:32+00:00,153.86100,,,,2025-11-14T13:48:30+00:00,153.90700,STOP_LOSS_ORDER,-0.04600,-5.93,USD,0.97
101-004-30719775-005,USD/JPY,Sell,18236.00,,2025-11-14T13:50:07+00:00,153.97400,,,,2025-11-14T13:50:41+00:00,154.01300,STOP_LOSS_ORDER,-0.03900,-4.64,USD,0.57
101-004-30719775-005,USD/JPY,Sell,16807.00,,2025-11-14T13:52:40+00:00,154.08900,,,,2025-11-14T14:00:02+00:00,154.14000,STOP_LOSS_ORDER,-0.05100,-5.59,USD,7.37
