strategy,instrument,session,signal_date,signal_time_utc,direction,entry_price,stop_loss,take_profit,r_ratio,outcome,r_achieved,regime_at_time,was_in_session_window,would_pass_cap_rules,orchestrator_score_estimate
trend_pullback_v1#15,AUD_JPY,LON_PRE,2026-06-02,2026-06-02T05:00:00.000000000Z,LONG,114.423,114.3675,114.58950000000002,3.0,WIN,3.0,TRENDING,False,True,0.717
trend_pullback_v1#13,EUR_NZD,LON_PRE,2026-06-02,2026-06-02T05:00:00.000000000Z,LONG,1.9615,1.9607171428571428,1.9638485714285716,3.0,LOSS,-1.0,TRENDING,False,True,0.7016
session_extreme_reversion_v2#1,EUR_GBP,LON_PRE,2026-06-02,2026-06-02T06:00:00.000000000Z,SHORT,0.86429,0.8643894285714285,0.8639917142857143,3.0,LOSS,-1.0,WEAK_TREND,False,True,0.43
sweep_reclaim_reversal_v2#1,EUR_AUD,LON_FLOW,2026-06-02,2026-06-02T10:00:00.000000000Z,LONG,1.62123,1.62065,1.62297,3.0,TIMEOUT,0.7241,TRENDING,True,True,0.8062
range_edge_v1#10,USD_CAD,NY_OPEN,2026-06-02,2026-06-02T13:30:00.000000000Z,LONG,1.3826,1.3818428571428572,1.3848714285714285,3.0,TIMEOUT,1.4264,RANGING,True,True,0.575
trend_pullback_v1#3,GBP_USD,NY_OPEN,2026-06-02,2026-06-02T14:00:00.000000000Z,LONG,1.34698,1.346561142857143,1.3482365714285713,3.0,LOSS,-1.0,TRENDING,True,True,0.9546
trend_pullback_v1#4,EUR_USD,NY_OPEN,2026-06-02,2026-06-02T15:00:00.000000000Z,LONG,1.16417,1.1637282857142857,1.165936857142857,4.0,LOSS,-1.0,WEAK_TREND,True,True,0.6788
sweep_reclaim_reversal_v2#2,NZD_USD,NY_OPEN,2026-06-02,2026-06-02T15:00:00.000000000Z,SHORT,0.59293,0.593294,0.591838,3.0,LOSS,-1.0,WEAK_TREND,True,True,0.511
range_edge_v1#1,GBP_USD,LON_PRE,2026-06-03,2026-06-03T05:45:00.000000000Z,LONG,1.34499,1.3446221428571428,1.3460935714285713,3.0,LOSS,-1.0,TRENDING,False,True,0.8532
range_edge_v1#2,AUD_JPY,LON_PRE,2026-06-03,2026-06-03T06:00:00.000000000Z,LONG,114.526,114.48154285714286,114.65937142857142,3.0,LOSS,-1.0,TRENDING,False,True,0.7868
trend_pullback_v1#4,GBP_AUD,LON_FLOW,2026-06-03,2026-06-03T08:30:00.000000000Z,LONG,1.87766,1.8765435714285716,1.8810092857142857,3.0,LOSS,-1.0,TRENDING,True,True,0.87
range_edge_v1#16,GBP_USD,NY_OPEN,2026-06-03,2026-06-03T13:45:00.000000000Z,LONG,1.3426,1.3417401785714287,1.3451794642857142,3.0,LOSS,-1.0,TRENDING,True,True,0.9112
range_edge_v1#10,XAU_USD,NY_OPEN,2026-06-03,2026-06-03T13:45:00.000000000Z,LONG,4446.875,4432.212946428572,4490.861160714286,3.0,TIMEOUT,-0.1951,TRENDING,True,True,0.81
range_edge_v1#1,AUD_USD,NY_OPEN,2026-06-03,2026-06-03T14:00:00.000000000Z,LONG,0.71476,0.7143382857142856,0.7160251428571429,3.0,LOSS,-1.0,TRENDING,True,True,1.0
range_edge_v1#1,EUR_USD,NY_OPEN,2026-06-03,2026-06-03T14:00:00.000000000Z,LONG,1.16066,1.1601977142857143,1.162046857142857,3.0,LOSS,-1.0,TRENDING,True,True,0.8856
range_edge_v1#1,NZD_USD,NY_OPEN,2026-06-03,2026-06-03T14:00:00.000000000Z,LONG,0.58784,0.5874497142857144,0.5890108571428572,3.0,LOSS,-1.0,TRENDING,True,True,0.92
sweep_reclaim_reversal_v2#1,EUR_USD,NY_OPEN,2026-06-03,2026-06-03T15:00:00.000000000Z,SHORT,1.1607,1.1613474285714287,1.1587577142857144,3.0,TIMEOUT,1.1739,TRENDING,True,True,0.8102
range_edge_v1#2,AUD_JPY,LON_PRE,2026-06-04,2026-06-04T05:00:00.000000000Z,LONG,113.972,113.91885714285714,114.13142857142856,3.0,LOSS,-1.0,TRENDING,False,True,0.7868
trend_pullback_v1#11,EUR_AUD,LON_FLOW,2026-06-04,2026-06-04T08:30:00.000000000Z,LONG,1.62852,1.62765125,1.63112625,3.0,LOSS,-1.0,TRENDING,True,True,0.92
trend_pullback_v1#3,EUR_JPY,LON_FLOW,2026-06-04,2026-06-04T09:00:00.000000000Z,LONG,185.741,185.6848285714286,185.9095142857143,3.0,WIN,3.0,TRENDING,True,True,0.8448
trend_pullback_v1#4,EUR_USD,NY_OPEN,2026-06-04,2026-06-04T14:00:00.000000000Z,LONG,1.16335,1.1628757142857145,1.1652471428571427,4.0,LOSS,-1.0,TRENDING,True,True,0.9788
trend_pullback_v1#3,GBP_USD,NY_OPEN,2026-06-04,2026-06-04T14:00:00.000000000Z,LONG,1.34474,1.3441662857142858,1.346461142857143,3.0,LOSS,-1.0,TRENDING,True,True,0.9546
trend_pullback_v1#4,AUD_USD,NY_OPEN,2026-06-04,2026-06-04T14:00:00.000000000Z,LONG,0.71419,0.7137808571428571,0.7158265714285714,4.0,LOSS,-1.0,TRENDING,True,True,0.8188
session_extreme_reversion_v2#1,EUR_GBP,LON_PRE,2026-06-05,2026-06-05T06:00:00.000000000Z,SHORT,0.86508,0.8651691428571429,0.8648125714285714,3.0,LOSS,-1.0,RANGING,False,True,0.43
trend_pullback_v1#13,EUR_NZD,LON_PRE,2026-06-05,2026-06-05T06:00:00.000000000Z,LONG,1.98112,1.9802457142857144,1.983742857142857,3.0,LOSS,-1.0,TRENDING,False,True,0.7016
trend_pullback_v1#4,GBP_AUD,LON_FLOW,2026-06-05,2026-06-05T08:45:00.000000000Z,LONG,1.88692,1.8859771428571428,1.8897485714285713,3.0,LOSS,-1.0,TRENDING,True,True,0.87
range_edge_v1#13,USD_CAD,LON_FLOW,2026-06-05,2026-06-05T09:30:00.000000000Z,LONG,1.38778,1.3871005357142858,1.3898183928571428,3.0,LOSS,-1.0,TRENDING,True,True,0.84
trend_pullback_v1#19,NZD_JPY,LON_FLOW,2026-06-05,2026-06-05T10:00:00.000000000Z,LONG,94.048,93.98431428571429,94.23905714285713,3.0,LOSS,-1.0,RANGING,True,True,0.5852
range_edge_v1#16,GBP_USD,NY_OPEN,2026-06-05,2026-06-05T13:30:00.000000000Z,LONG,1.34,1.338445535714286,1.3446633928571428,3.0,LOSS,-1.0,RANGING,True,True,0.6112
range_edge_v1#10,XAU_USD,NY_OPEN,2026-06-05,2026-06-05T13:45:00.000000000Z,LONG,4365.755,4346.39875,4423.82375,3.0,LOSS,-1.0,TRENDING,True,True,0.81
range_edge_v1#1,AUD_USD,NY_OPEN,2026-06-05,2026-06-05T14:00:00.000000000Z,LONG,0.70744,0.7067451428571428,0.7095245714285713,3.0,LOSS,-1.0,TRENDING,True,True,1.0
range_edge_v1#6,EUR_JPY,NY_OPEN,2026-06-05,2026-06-05T14:00:00.000000000Z,LONG,185.188,185.03021428571427,185.66135714285713,3.0,LOSS,-1.0,TRENDING,True,True,0.799
range_edge_v1#5,GBP_JPY,NY_OPEN,2026-06-05,2026-06-05T14:00:00.000000000Z,LONG,214.458,214.26014285714285,215.05157142857144,3.0,LOSS,-1.0,RANGING,True,True,0.6
range_edge_v1#1,NZD_USD,NY_OPEN,2026-06-05,2026-06-05T14:00:00.000000000Z,LONG,0.5821,0.5814885714285714,0.5839342857142857,3.0,LOSS,-1.0,TRENDING,True,True,0.92
